中文名称,同义名称,英文名称,表达符号,数据类型,类词,长度,值域,计量单位,定义,参考来源,参考来源MJ,描述对象,所属分类
统一资源标识符（URI),,,,而今型,标识符,0..20,自由文本,无,"统一资源标识符(UniformResourceIdentifiers,简称URI)",GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
中国科技报告号(CRN),,,,数值型,代码,0..24,日期型,无,中国科技报告编号(Chinaseientificandtechnicalreportnumber),GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
因特网资源类型(IMT),,,,字符串型,文本,5149316416,自由文本,无,资源的因特网媒体类型,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
语种识别标签(ISO639-2),,,,字符串型,代码,0..24,自由文本,无,国际标准化组织制定的3字母语种识别代码,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
RFC4646,,,,字符串型,标识符,0..20,自由文本,无,根据04646确定的语种识别标签集合,GB_T30535-2014 科技报告元数据规范,公开,元素及其修饰词,项目管理元数据
民族名称,,,,字符串型,名称,1..10,{TAB1|R01004},无,所归属的、国家认可的、在户籍管理部门登记注册的民族,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
名族代码,,,,数值型,代码,2,{TAB1|R01004},无,标识名族的代码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
国籍名称,,,,字符串型,名称,1..80,{TAB1|R01005},无,人员具有的属于某个国家的身份,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
国籍代码,,,,数值型,代码,3,{TAB1|R01005},无,标识国籍的代码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
公民身份证号码,,,,字符串型,标识符,0..15,自由文本,无,人员居民身份证上的公民身份号码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
护照颁发国,,,,字符串型,名称,1..80,哥伦比亚,无,颁发护照的国家名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
护照号码,,,,二进制型,代码,1..30,自由文本,无,个人所持有的有效护照号码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
籍贯名称,,,,字符串型,名称,2654,{TAB1|R01006},无,本人父辈出生地行政区划名称,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
籍贯,,,,字符串型,代码,6,{TAB1|R01006},无,籍贯对应的代码,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
常住地名称,,,,日期_,名称,1..50,{TAB1|R01006},无,居住不少于一年的县级及县级以上地区,GB_T39316.5-2020 军民通用资源元数据第5部分：人员类,公开,人员类,人力资源元数据
